"","iteration_date","model_type","distibution","random_partition","nrow_train","nrow_test","nrounds","n_features","features","AIC","auc"
"1",2020-08-20 16:26:08,"glm","binomial",0.6,81,55,10,1,"X_flag",99.1728367699613,0.569508052865062
"2",2020-08-20 16:26:08,"glm","binomial",0.7,95,41,10,1,"X_flag",109.087769642213,0.556424616822706
"3",2020-08-20 16:26:08,"glm","binomial",0.8,108,28,10,1,"X_flag",117.293555230813,0.562654576667389
"4",2020-08-20 16:26:08,"glm","binomial",0.9,122,14,10,1,"X_flag",125.824509718182,0.571536387045997
"5",2020-08-20 16:26:08,"glm","binomial",0.6,81,55,10,1,"Y_flag",101.24509412577,0.596170846201732
"6",2020-08-20 16:26:08,"glm","binomial",0.7,95,41,10,1,"Y_flag",107.958828718425,0.60604652560125
"7",2020-08-20 16:26:08,"glm","binomial",0.8,108,28,10,1,"Y_flag",115.838756746101,0.604711880321892
"8",2020-08-20 16:26:08,"glm","binomial",0.9,122,14,10,1,"Y_flag",123.741670523141,0.592435494768004
"9",2020-08-20 16:26:08,"glm","binomial",0.6,81,55,10,1,"temp",95.9952476312687,0.618785341464521
"10",2020-08-20 16:26:08,"glm","binomial",0.7,95,41,10,1,"temp",104.594427676994,0.623181792482348
"11",2020-08-20 16:26:08,"glm","binomial",0.8,108,28,10,1,"temp",113.293175907824,0.610042620644804
"12",2020-08-20 16:26:08,"glm","binomial",0.9,122,14,10,1,"temp",121.90828490356,0.644066056392694
"13",2020-08-20 16:26:08,"glm","binomial",0.6,81,55,10,1,"fire_season",99.9826385609136,0.599550290788775
"14",2020-08-20 16:26:08,"glm","binomial",0.7,95,41,10,1,"fire_season",106.769288900681,0.593404205111809
"15",2020-08-20 16:26:08,"glm","binomial",0.8,108,28,10,1,"fire_season",115.001601196236,0.596243103653436
"16",2020-08-20 16:26:08,"glm","binomial",0.9,122,14,10,1,"fire_season",123.032299513931,0.607856029038779
"17",2020-08-20 16:26:08,"glm","binomial",0.6,81,55,10,1,"hazard",95.6025391233041,0.624992691951841
"18",2020-08-20 16:26:08,"glm","binomial",0.7,95,41,10,1,"hazard",105.115357361316,0.661683021465954
"19",2020-08-20 16:26:08,"glm","binomial",0.8,108,28,10,1,"hazard",113.199963664335,0.652320260421946
"20",2020-08-20 16:26:08,"glm","binomial",0.9,122,14,10,1,"hazard",120.404996254207,0.661493242368614
"21",2020-08-20 16:26:08,"glm","binomial",0.6,81,55,10,2,"X_flag,temp",99.0089198963516,0.61928956607284
"22",2020-08-20 16:26:09,"glm","binomial",0.7,95,41,10,2,"X_flag,temp",108.206945326071,0.639353342786623
"23",2020-08-20 16:26:09,"glm","binomial",0.8,108,28,10,2,"X_flag,temp",115.242037295648,0.628214318006673
"24",2020-08-20 16:26:09,"glm","binomial",0.9,122,14,10,2,"X_flag,temp",123.170346477622,0.644872859717126
"25",2020-08-20 16:26:09,"glm","binomial",0.6,81,55,10,2,"X_flag,fire_season",100.04787683922,0.628144783789407
"26",2020-08-20 16:26:09,"glm","binomial",0.7,95,41,10,2,"X_flag,fire_season",106.45599771002,0.600231423739642
"27",2020-08-20 16:26:09,"glm","binomial",0.8,108,28,10,2,"X_flag,fire_season",113.190133827794,0.597301508905027
"28",2020-08-20 16:26:09,"glm","binomial",0.9,122,14,10,2,"X_flag,fire_season",121.869674226123,0.633279161981801
"29",2020-08-20 16:26:09,"glm","binomial",0.6,81,55,10,2,"X_flag,hazard",96.6986141571468,0.667169446465924
"30",2020-08-20 16:26:09,"glm","binomial",0.7,95,41,10,2,"X_flag,hazard",104.397599168205,0.654001028522912
"31",2020-08-20 16:26:09,"glm","binomial",0.8,108,28,10,2,"X_flag,hazard",112.07222098045,0.649224003717289
"32",2020-08-20 16:26:09,"glm","binomial",0.9,122,14,10,2,"X_flag,hazard",119.470119771737,0.645126651777866
"33",2020-08-20 16:26:09,"glm","binomial",0.6,81,55,10,2,"Y_flag,temp",97.8956325799622,0.661839134081765
"34",2020-08-20 16:26:09,"glm","binomial",0.7,95,41,10,2,"Y_flag,temp",103.775560241937,0.658047761427142
"35",2020-08-20 16:26:09,"glm","binomial",0.8,108,28,10,2,"Y_flag,temp",111.821716796543,0.648084943911112
"36",2020-08-20 16:26:09,"glm","binomial",0.9,122,14,10,2,"Y_flag,temp",120.154118107563,0.679817835749962
"37",2020-08-20 16:26:09,"glm","binomial",0.6,81,55,10,2,"Y_flag,fire_season",96.4925620620854,0.626650211881833
"38",2020-08-20 16:26:09,"glm","binomial",0.7,95,41,10,2,"Y_flag,fire_season",105.884264442093,0.648848239988596
